0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,,Obični bor - 134,Obični bor - 134,Obični bor - 134
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,4,,,2,,,2,,,,,,2,,,3-12.5,,,
4-17.5,3,,,3,,,,,,,,,,,,4-17.5,,,
5-22.5,1,,,,,,,,,1,,,,,,5-22.5,,,
6-27.5,3,,,1,,,,,,,,,,,,6-27.5,1,,
7-32.5,,,,1,1,,,,,,,,,,,7-32.5,,,
8-37.5,,,,,,,,,,,,,,,,8-37.5,,,
9-42.5,,,,1,,,,,,,,,,,,9-42.5,,,
