0,1,2,3,4,5,6,7,8,9
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obični grab - 13,Obični grab - 13,Obični grab - 13,Crna joha - 7,Crna joha - 7,Crna joha - 7
,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,
2-7.5,,,,,,,,,
3-12.5,,1,,3,,,,,
4-17.5,1,,,4,,,,,
5-22.5,,,,2,,,1,,
6-27.5,,,,,,,,,
7-32.5,,,,,,,1,,
8-37.5,,,,,,,,,
9-42.5,1,,,,,,,,
10-47.5,2,,,,,,,,
11-52.5,,,,,,,,,
12-57.5,,,,,,,,,
13-62.5,,,,,,,,,
14-67.5,,,,,,,,,
15-72.5,,,,,,,,,
16-77.5,,,,,,,,,
17-82.5,,,,,,,,,
18-87.5,1,,,,,,,,
