0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Crni grab - 29,Crni grab - 29,Crni grab - 29,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,Brekinja - 66,Brekinja - 66,Brekinja - 66
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,4,,,1,,,2,,,1,,,2,,
4-17.5,11,,,,,,,,,,,,,,
5-22.5,2,,,1,,,,,,,,,,,
6-27.5,,,,,,,,,,,,,,,
7-32.5,,,,1,,,,,,,,,,,
8-37.5,,,,2,,,,,,,,,,,
9-42.5,,,,1,,,,,,,,,,,
10-47.5,,,,1,,,,,,,,,,,
