0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Crni grab - 29,Crni grab - 29,Crni grab - 29,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,,Jarebika - 64,Jarebika - 64,Jarebika - 64,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,Mliječ - 4,Mliječ - 4,Mliječ - 4
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,,,,
3-12.5,4,,,,1,,1,,,,,,,,3,3-12.5,,,,1,,,,,
4-17.5,2,,,2,,,,,,1,,,,,,4-17.5,,,,,,,,,
5-22.5,,,,1,,,,,,1,,,1,,,5-22.5,,,,1,,,4,,
6-27.5,1,,,,,,,,,,,,,,1,6-27.5,1,,,,,,,,
7-32.5,,,,1,,,,,,1,,1,1,,,7-32.5,1,,,,,,,,
8-37.5,,,,1,,,,,,,,,,,,8-37.5,,,,,,,,,
9-42.5,,,,2,,,,,,,,,,,,9-42.5,,,,,,,,,
10-47.5,,,,1,,,,,,,,,,,,10-47.5,,,,,,,,,
