0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični grab - 13,Obični grab - 13,Obični grab - 13,Obična jela - 100,Obična jela - 100,Obična jela - 100,Gorski brijest - 70,Gorski brijest - 70,Gorski brijest - 70
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,6,4,,,,,1,,,1,,,1,,
4-17.5,2,,1,,,,1,,,,,,,,
5-22.5,3,,,,,,3,,,,,,,,
6-27.5,5,,,,,1,2,,,,,,,,
7-32.5,4,,,2,1,,,,,,,,,,
8-37.5,,,,,,,,,,,,,,,
9-42.5,1,,,1,,,,,,,,,,,
10-47.5,2,,,,,,,,,,,,,,
11-52.5,1,,,,,,,,,,,,,,
12-57.5,,,,,,,,,,,,,,,
13-62.5,1,,,,,,,,,,,,,,
