0,1,2,3
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,2,6,2
4-17.5,10,,2
5-22.5,9,,1
6-27.5,3,,
7-32.5,5,1,
8-37.5,1,,
