0,1,2,3,4,5,6,7,8,9,10,11,12
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Brekinja - 66,Brekinja - 66,Brekinja - 66,Obični grab - 13,Obični grab - 13,Obični grab - 13
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,3,2,,,,,,,,,,
4-17.5,4,,,,,,1,,,2,,
5-22.5,1,,,,,,,,,,,
6-27.5,4,,,,,,,,,,,
7-32.5,,,,,,,,,,,,
8-37.5,1,,,,,,,,,,,
9-42.5,,,,,,,,,,,,
10-47.5,,,,,,,,,,,,
11-52.5,,,,,,,,,,,,
12-57.5,,,,1,,,,,,,,
13-62.5,1,,,,,,,,,,,
14-67.5,1,,,,,,,,,,,
