0,1,2,3,4,5,6,7,8,9
,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,
2-7.5,,,,,,,,,
3-12.5,,,,2,,,,,
4-17.5,,,,3,,,,,
5-22.5,1,,,3,,,,,
6-27.5,1,,,3,,,,,
7-32.5,,,,,,,,,
8-37.5,1,1,,3,,,1,,
9-42.5,,,,,,,,,
10-47.5,,,,1,,,,,
