0,1,2,3,4,5,6,7,8,9
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20
,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,
2-7.5,,,,,,,,,
3-12.5,1,,,9,13,1,,,
4-17.5,3,,,7,2,,1,,
5-22.5,2,,,5,,,1,,
6-27.5,,,,3,,,,,
7-32.5,,,,2,,,,,
