0,1,2,3,4,5,6
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L,živa,S,L
1-2.5,,,,,,
2-7.5,,,,,,
3-12.5,1,2,1,2,1,
4-17.5,,1,,1,1,
5-22.5,,,,5,,
6-27.5,3,,,4,,
7-32.5,,1,,6,,
8-37.5,,,,1,,
9-42.5,,,,,,
10-47.5,,2,,,,
