0,1,2,3,4,5,6,7,8,9,10,11,12
,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični grab - 13,Obični grab - 13,Obični grab - 13,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,5,,,,,,1,,,,,
4-17.5,2,,,,,,,,,,,
5-22.5,2,,,,,,1,,,,,
6-27.5,2,,,,,,,,,,,
7-32.5,1,,,,,,,,,,,1
8-37.5,,,,,,,,,,,,
9-42.5,,,,,,,,,,,,
10-47.5,,,,,,2,,,,,,
11-52.5,,,,,,1,,,,,,
