0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Obični jasen - 22,Obični jasen - 22,Obični jasen - 22,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Gorski brijest - 70,Gorski brijest - 70,Gorski brijest - 70,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,,Obični orah - 26,Obični orah - 26,Obični orah - 26
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,,,,2,,,2,,,,,,,,,3-12.5,,,
4-17.5,,,,1,,,,,,1,,,,,,4-17.5,,,
5-22.5,,,,,,,1,,,,,,1,,,5-22.5,1,,
6-27.5,,,,,,,1,,,,,,,,,6-27.5,,,
7-32.5,1,,,,,,1,,,,,,1,,,7-32.5,,,
8-37.5,,1,,,,,,,,,,,,,,8-37.5,,,
