0,1,2,3,4,5,6,7,8,9
,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Klen - 1,Klen - 1,Klen - 1
,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,
2-7.5,,,,,,,,,
3-12.5,,,,,,,,,
4-17.5,,,,,,,1,,
5-22.5,,,,1,,,,,
6-27.5,,,,,,,,,
7-32.5,1,,,1,,,,,
