0,1,2,3,4,5,6
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Brekinja - 66,Brekinja - 66,Brekinja - 66
,živa,S,L,živa,S,L
1-2.5,,,,,,
2-7.5,,,,,,
3-12.5,,,,,,
4-17.5,3,,,,,
5-22.5,6,,,1,,
6-27.5,11,,,,,
7-32.5,2,,,,,
8-37.5,1,,,,,
