0,1,2,3
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,5,,
4-17.5,3,,
5-22.5,1,,
6-27.5,1,,
