0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obični grab - 13,Obični grab - 13,Obični grab - 13,Malolisna lipa - 68,Malolisna lipa - 68,Malolisna lipa - 68,Jednoplodnički glog - 91,Jednoplodnički glog - 91,Jednoplodnički glog - 91,,Obični orah - 26,Obični orah - 26,Obični orah - 26,Jarebika - 64,Jarebika - 64,Jarebika - 64,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,,,,
3-12.5,2,,,3,1,,1,,,1,,,2,,,3-12.5,,,,,,,,,
4-17.5,2,,,1,,,4,,,,,,,,,4-17.5,,1,,,,,,,
5-22.5,2,,,,,,2,,,,,,,,,5-22.5,,,,,,,1,,
6-27.5,4,,,,,,,,,,,,,,,6-27.5,1,,,,,,,,
7-32.5,,,,,,,,,,,,,,,,7-32.5,,,,,,,,,
8-37.5,,,,,,,,,,,,,,,,8-37.5,,,,1,,,,,
