0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Divlja jabuka - 95,Divlja jabuka - 95,Divlja jabuka - 95,,Klen - 1,Klen - 1,Klen - 1
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,1,,,,1,,1,,,3,,,,,,3-12.5,,,
4-17.5,,,,,,,,,,,,,,,,4-17.5,,,
5-22.5,1,,,1,,,,,,1,,,,,,5-22.5,1,,
6-27.5,2,,,2,,,,,,,,,1,,,6-27.5,,,
7-32.5,,,,4,1,,,,,,,,,,,7-32.5,,,
8-37.5,,,,3,,,,,,,,,,,,8-37.5,,,
9-42.5,,,,,,,,,,,,,,,,9-42.5,,,
10-47.5,,,,1,,,,,,,,,,,,10-47.5,,,
