0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični grab - 13,Obični grab - 13,Obični grab - 13,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Klen - 1,Klen - 1,Klen - 1,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,,Crni grab - 29,Crni grab - 29,Crni grab - 29,Jarebika - 64,Jarebika - 64,Jarebika - 64
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,
3-12.5,,,,12,1,,,,,1,,,1,,,3-12.5,1,,,,,
4-17.5,2,,1,6,,,1,,,1,,,,,,4-17.5,,,,1,,
5-22.5,2,,,,,,,,,,,,,,,5-22.5,,,,,,
6-27.5,3,,,,,,1,,,,,,,,,6-27.5,,,,,,
7-32.5,1,,,,,,,,,,,,,,,7-32.5,,,,,,
8-37.5,2,,,,,,,,,,,,,,,8-37.5,,,,,,
