0,1,2,3,4,5,6,7,8,9,10,11,12
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obični grab - 13,Obični grab - 13,Obični grab - 13,Brekinja - 66,Brekinja - 66,Brekinja - 66
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,1,,,6,,,2,,,1,,
4-17.5,1,,,2,,,1,,,,,
5-22.5,1,,,,,,,,,,,
6-27.5,1,,,,,,,,,,,
7-32.5,,,,,,,,,,,,
8-37.5,,2,1,1,,,,,,,,
9-42.5,3,,,,,,,,,,,
10-47.5,,,,,,,,,,,,
11-52.5,1,1,,,,,,,,,,
12-57.5,,,,,,,,,,,,
13-62.5,1,,,,,,,,,,,
14-67.5,1,,,,,,,,,,,
15-72.5,1,,,,,,,,,,,
16-77.5,,,,,,,,,,,,
17-82.5,1,,,,,,,,,,,
18-87.5,,,,,,,,,,,,
19-92.5,1,,,,,,,,,,,
