0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obična mukinja - 63,Obična mukinja - 63,Obična mukinja - 63,Obični grab - 13,Obični grab - 13,Obični grab - 13
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,5,1,,1,2,,,,,,,,3,,
4-17.5,3,,,,,,,,,1,,,,,
5-22.5,4,1,,6,,,1,,,,,,1,,
6-27.5,2,,,,,,,,,,,,,,
7-32.5,2,,,1,,,1,,,,,,,,
8-37.5,1,,,,,,,,,,,,,,
