0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obična jela - 100,Obična jela - 100,Obična jela - 100,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični grab - 13,Obični grab - 13,Obični grab - 13,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,,Brekinja - 66,Brekinja - 66,Brekinja - 66
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,4,,,,,,,,,,,,,,,3-12.5,1,,
4-17.5,5,,1,1,,,,,,1,,,,,,4-17.5,,,
5-22.5,3,,1,1,,,,,,1,,,,,,5-22.5,,,
6-27.5,3,,,,,,,,,,,,,,,6-27.5,,,
7-32.5,,,,,,,2,,,,,,,,,7-32.5,,,
8-37.5,2,,,1,,,,,,,,,,,,8-37.5,,,
9-42.5,,,,,,,,,,,,,1,,,9-42.5,,,
10-47.5,,,,,,,,,,,,,1,,,10-47.5,,,
11-52.5,,,,,,,,,,,,,,,,11-52.5,,,
12-57.5,,,,,,,,,,,,,,,,12-57.5,,,
13-62.5,,,,,,,,,,,,,,,,13-62.5,,,
14-67.5,,,,,,,,,,,,,,,,14-67.5,,,
15-72.5,,,,,,,,,,,,,,,,15-72.5,,,
16-77.5,,,,,,,,,,,,,,,,16-77.5,,,
17-82.5,1,,,,,,,,,,,,,,,17-82.5,,,
