0,1,2,3,4,5,6
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obična jela - 100,Obična jela - 100,Obična jela - 100
,živa,S,L,živa,S,L
1-2.5,,,,,,
2-7.5,,,,,,
3-12.5,2,,,2,,
4-17.5,,,,,,
5-22.5,1,,,,,
6-27.5,3,,,,,
7-32.5,3,,,,,
8-37.5,,,,,,
9-42.5,2,,,,,
10-47.5,2,,,,,
11-52.5,,,,,,
12-57.5,3,,,,,
