0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obični grab - 13,Obični grab - 13,Obični grab - 13,Brekinja - 66,Brekinja - 66,Brekinja - 66,Klen - 1,Klen - 1,Klen - 1,,Pitoma kruška - 40,Pitoma kruška - 40,Pitoma kruška - 40
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,,,,2,,,5,,,2,,,1,,,3-12.5,1,,
4-17.5,1,,,,,,3,1,,,,,,,,4-17.5,,,
5-22.5,2,,,1,,,1,,,,,,,,,5-22.5,,,
6-27.5,3,,,,,,,,,,,,,,,6-27.5,,,
7-32.5,3,,,,,,,,,,,,,,,7-32.5,,,
8-37.5,4,,,,,,,,,,,,,,,8-37.5,,,
9-42.5,2,,,,,,,,,,,,,,,9-42.5,,,
10-47.5,1,,,,,,,,,,,,,,,10-47.5,,,
