0,1,2,3
,Klen - 1,Klen - 1,Klen - 1
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,,,
4-17.5,,,
5-22.5,,,
6-27.5,,,
7-32.5,,,
8-37.5,,,
9-42.5,,,
10-47.5,2,,
