0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični grab - 13,Obični grab - 13,Obični grab - 13,Brekinja - 66,Brekinja - 66,Brekinja - 66,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,Crni grab - 29,Crni grab - 29,Crni grab - 29,,Obična mukinja - 63,Obična mukinja - 63,Obična mukinja - 63
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,,,,6,,,2,,,1,,,,,,3-12.5,,2,
4-17.5,7,,,4,,,,,,,,,,,,4-17.5,1,,
5-22.5,4,1,,1,,,1,,,,,,1,,,5-22.5,,,
6-27.5,9,,,,,,,,,,,,,,,6-27.5,,,
7-32.5,2,,,,,,,,,,,,,,,7-32.5,,,
8-37.5,,,,,,,,,,,,,,,,8-37.5,,,
9-42.5,1,,,,,,,,,,,,,,,9-42.5,,,
