0,1,2,3
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,,1,1
4-17.5,1,,
5-22.5,3,,
6-27.5,3,,
7-32.5,3,,
8-37.5,3,2,
9-42.5,2,1,
10-47.5,,,
11-52.5,2,,
12-57.5,2,,
