0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Gorski brijest - 70,Gorski brijest - 70,Gorski brijest - 70,,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,,,,,,,6,,,7,,,,,,3-12.5,1,,
4-17.5,,,,,3,1,1,1,,5,,,1,,,4-17.5,,,
5-22.5,,,,2,,1,2,,,3,,,,,,5-22.5,,,
6-27.5,1,,,,,,,,,1,,,,,,6-27.5,1,,
7-32.5,1,,,,1,,1,,,,,,,,,7-32.5,,,
8-37.5,,,,1,,,1,,,,,,,,,8-37.5,,,
9-42.5,1,,,,,,1,,,,,,,,,9-42.5,,,
10-47.5,2,,,,,,,,,,,,,,,10-47.5,,,
11-52.5,,,,1,,,,,,,,,,,,11-52.5,,,
