0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Obična jela - 100,Obična jela - 100,Obična jela - 100,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,,Brekinja - 66,Brekinja - 66,Brekinja - 66,Velelisna lipa - 69,Velelisna lipa - 69,Velelisna lipa - 69,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,,,,
3-12.5,4,,,11,,,1,,,1,,,1,,,3-12.5,1,,,,,,1,,
4-17.5,4,,,6,,,,,,,,,1,,,4-17.5,,,,,,,2,,
5-22.5,1,,,5,,,,,,,1,,,,,5-22.5,,,,,,,,,
6-27.5,1,,,,,,,,,,,,,,,6-27.5,,,,,,,,,
7-32.5,,,,,,,,,,,,,,,,7-32.5,,,,,,,,,
8-37.5,,,,,,,,,,1,,,,,,8-37.5,,,,1,,,,,
9-42.5,,,,,,,,,,,,,,,,9-42.5,,,,,,,,,
10-47.5,,,,,,,,,,,,,,,,10-47.5,,,,,,,,,
11-52.5,,,,,,,,,,1,,,,,,11-52.5,,,,,,,,,
