0,1,2,3
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,,1,
4-17.5,3,2,1
5-22.5,4,,1
6-27.5,6,,
7-32.5,4,1,1
8-37.5,2,1,
9-42.5,1,,
