0,1,2,3,4,5,6,7,8,9,10,11,12
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični grab - 13,Obični grab - 13,Obični grab - 13,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Brekinja - 66,Brekinja - 66,Brekinja - 66
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,,,,9,,2,,,,1,,
4-17.5,,,,5,,,,,,,,
5-22.5,,,,2,,,,,,,,
6-27.5,,,,,,,1,,,,,
7-32.5,1,,,,,,,,,,,
8-37.5,1,,,,,,,,,,,
9-42.5,1,,,,,,,,,,,
10-47.5,1,,,,,,,,,,,
11-52.5,2,,,,,,,,,,,
12-57.5,1,,,,,,,,,,,
