0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,Klen - 1,Klen - 1,Klen - 1,Obični grab - 13,Obični grab - 13,Obični grab - 13,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Obični orah - 26,Obični orah - 26,Obični orah - 26,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,,Gorski brijest - 70,Gorski brijest - 70,Gorski brijest - 70,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,
3-12.5,2,1,,5,,,,,,,,,1,,,3-12.5,1,,,,,
4-17.5,5,,,7,,,,,,1,,,1,,,4-17.5,1,,,,1,
5-22.5,2,,,1,,,,,,,,,1,,,5-22.5,,,,,1,
6-27.5,,1,,1,,,,,,2,,,2,,,6-27.5,,,,,,
7-32.5,,,,1,,,,,,,,,2,,,7-32.5,,,,,,
8-37.5,,,,,,,1,,,,,,1,,,8-37.5,,,,,,
9-42.5,,,,,,,,,,,,,1,,,9-42.5,,,,,,
