0,1,2,3
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,,,
4-17.5,,,
5-22.5,,,
6-27.5,,,1
7-32.5,,,1
8-37.5,,1,
9-42.5,2,,
10-47.5,2,,
11-52.5,2,1,
12-57.5,,,
13-62.5,1,,
14-67.5,,,
15-72.5,1,,
