0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Velelisna lipa - 69,Velelisna lipa - 69,Velelisna lipa - 69,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obični orah - 26,Obični orah - 26,Obični orah - 26,Ostala tvrda bjelogorica - OTB,Ostala tvrda bjelogorica - OTB,Ostala tvrda bjelogorica - OTB,,Klen - 1,Klen - 1,Klen - 1
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,1,,,2,1,,,1,,,,,2,,,3-12.5,,,
4-17.5,1,,,2,,,,3,,1,,,1,,,4-17.5,1,,
5-22.5,5,,,1,,,,,,1,,,2,,,5-22.5,,,
6-27.5,,,,,,,,,,,,,3,,,6-27.5,,,
7-32.5,,,,,,,,,,,,,1,,,7-32.5,,,
8-37.5,,,,,,,,,,,,,1,,,8-37.5,,,
