0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obični grab - 13,Obični grab - 13,Obični grab - 13,Klen - 1,Klen - 1,Klen - 1,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,2,,,,,,14,3,,1,,,,1,
4-17.5,1,,,1,,,6,1,,1,,,1,,
5-22.5,,,,1,,,4,,,1,,,1,,
6-27.5,,,,1,,,,,,,,,,,
7-32.5,,,,,,,,,,,,,,,
8-37.5,,,,1,,,,,,,,,,,
9-42.5,,,,,,,,,,,,,,,
10-47.5,2,,,,,,,,,,,,,,
11-52.5,1,,,,,,,,,,,,,,
12-57.5,,,,,,,,,,,,,,,
13-62.5,1,,,,,,,,,,,,,,
