0,1,2,3,4,5,6,7,8,9,10,11,12
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični jasen - 22,Obični jasen - 22,Obični jasen - 22,Obična mukinja - 63,Obična mukinja - 63,Obična mukinja - 63,Malolisna lipa - 68,Malolisna lipa - 68,Malolisna lipa - 68
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,1,,,2,,,2,1,,,,
4-17.5,2,3,,,,,,,,,,
5-22.5,1,1,,,,,,,,1,,
6-27.5,3,1,,,,,,,,,,
7-32.5,1,,,,,,,,,,,
8-37.5,3,,,,,,,,,,,
9-42.5,1,2,,,,,,,,,,
10-47.5,1,,,,,,,,,,,
11-52.5,,,,,,,,,,,,
12-57.5,,,,,,,,,,,,
13-62.5,,,,,,,,,,,,
14-67.5,,,,,,,,,,,,
15-72.5,,,,,,,,,,,,
16-77.5,,,,,,,,,,,,
17-82.5,1,,,,,,,,,,,
