0,1,2,3,4,5,6,7,8,9,10,11,12
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Velelisna lipa - 69,Velelisna lipa - 69,Velelisna lipa - 69,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Obična lijeska - 16,Obična lijeska - 16,Obična lijeska - 16
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,2,1,,,,,,,,1,,
4-17.5,1,3,1,1,,,,,,,,
5-22.5,5,2,1,,,,1,,,,,
6-27.5,,,,,,,,,,,,
7-32.5,2,,,,,,,,,,,
8-37.5,1,,,,,,,,,,,
9-42.5,,,,,,,,,,,,
10-47.5,1,,,,,,,,,,,
