0,1,2,3
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,4,7,2
4-17.5,9,5,
5-22.5,7,,
6-27.5,5,1,
7-32.5,9,,
8-37.5,5,,
9-42.5,1,,
