0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Trepetljika - 35,Trepetljika - 35,Trepetljika - 35,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Malolisna lipa - 68,Malolisna lipa - 68,Malolisna lipa - 68,,Klen - 1,Klen - 1,Klen - 1,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,
3-12.5,3,,,6,1,,,1,,1,,,4,,,3-12.5,1,,,,,
4-17.5,,,,3,2,,1,1,,,,,1,,,4-17.5,,,,,,
5-22.5,,,,4,,,1,,,,,,,,,5-22.5,,,,1,,
6-27.5,1,,,5,,,,,,,,,,,,6-27.5,,,,,,
7-32.5,1,,,4,2,,,,,,,,,,,7-32.5,,,,,,
8-37.5,1,,,1,1,,,,,,,,,,,8-37.5,,,,,,
9-42.5,,,,,,,,,,,,,,,,9-42.5,,,,,,
10-47.5,,,,2,,,,,,,,,,,,10-47.5,,,,,,
11-52.5,,,,1,,,,,,,,,,,,11-52.5,,,,,,
12-57.5,,,,,,,,,,,,,,,,12-57.5,,,,,,
13-62.5,,,,,,,,,,,,,,,,13-62.5,,,,,,
14-67.5,,,,1,,,,,,,,,,,,14-67.5,,,,,,
15-72.5,,,,,,,,,,,,,,,,15-72.5,,,,,,
16-77.5,,,,1,,,,,,,,,,,,16-77.5,,,,,,
