0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični bor - 134,Obični bor - 134,Obični bor - 134,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Klen - 1,Klen - 1,Klen - 1,,Gorski brijest - 70,Gorski brijest - 70,Gorski brijest - 70,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,
3-12.5,7,1,,,,,,,,1,,,2,,,3-12.5,,,,1,,
4-17.5,4,,,,,,,,,,,,1,,,4-17.5,1,,,,,
5-22.5,1,,,,1,1,,,2,,,,,,,5-22.5,,,,,,
6-27.5,,,,,,,,,,,,,,,,6-27.5,,,,,,
7-32.5,1,,,,,,,,,,,,,,,7-32.5,,,,,,
8-37.5,,,,,,,,,,1,,,,,,8-37.5,,,,,,
9-42.5,,,,,,,,,,1,,,,,,9-42.5,,,,,,
10-47.5,,,,,,,,,,,,,,,,10-47.5,,,,,,
11-52.5,,,,,,,,,,,,,,,,11-52.5,,,,,,
12-57.5,,,,,,,,,,1,,,,,,12-57.5,,,,,,
