0,1,2,3,4,5,6,7,8,9,10,11,12
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obični grab - 13,Obični grab - 13,Obični grab - 13,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični jasen - 22,Obični jasen - 22,Obični jasen - 22
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,6,1,,2,1,,,,,,,
4-17.5,14,,,3,,,,,,,,
5-22.5,2,,,2,,,,,,1,,
6-27.5,4,,,1,,,,,,,,
7-32.5,5,,,,,,1,,,,,
8-37.5,,,,,,,,,,,,
9-42.5,,,,1,,,,,,,,
10-47.5,,,,,,,,,,,,
11-52.5,,,,,,,,,,,,
12-57.5,,,,,,,,,,,,
13-62.5,1,,,,,,,,,,,
