0,1,2,3,4,5,6,7,8,9
,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični grab - 13,Obični grab - 13,Obični grab - 13
,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,
2-7.5,,,,,,,,,
3-12.5,6,,,,,,,,
4-17.5,6,,,,,,,,
5-22.5,8,,1,,,,1,,
6-27.5,3,,,,,,,,
7-32.5,,,,,,,,,
8-37.5,3,,,,,,,,
9-42.5,2,,,1,,,,,
10-47.5,1,,,,,,,,
