0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Brekinja - 66,Brekinja - 66,Brekinja - 66,Obični grab - 13,Obični grab - 13,Obični grab - 13,Klen - 1,Klen - 1,Klen - 1
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,4,,,,,,,,,9,1,,,,
4-17.5,1,1,,,,,,,,3,,,1,,
5-22.5,1,,,,,,1,,,5,,,,,
6-27.5,1,,,,,,,,,,,,,,
7-32.5,,,,,,,,,,,,,,,
8-37.5,,,,2,,,,,,,,,,,
