0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obični grab - 13,Obični grab - 13,Obični grab - 13,Brekinja - 66,Brekinja - 66,Brekinja - 66,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,1,,,,,,1,,,2,,,1,,
4-17.5,7,,,1,,,,,,,,,,,
5-22.5,10,,,,,,,,,,,,,,
6-27.5,3,,,,,,,,,,,,,,
7-32.5,3,,,,,,,,,,,,,,
8-37.5,1,,,,,,,,,,,,,,
9-42.5,2,1,1,,,,,,,,,,,,
10-47.5,2,,,,,,,,,,,,,,
11-52.5,1,,,,,,,,,,,,,,
