0,1,2,3
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,10,,
4-17.5,20,,
5-22.5,20,,
6-27.5,10,,
