0,1,2,3,4,5,6,7,8,9,10,11,12
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obična jela - 100,Obična jela - 100,Obična jela - 100,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,,1,2,5,,,,,,,,
4-17.5,3,2,1,2,,,2,,,1,,
5-22.5,2,4,,3,,,1,,,1,,
6-27.5,3,1,,1,,,,,,1,,
7-32.5,1,1,,1,,,,,,,,
8-37.5,4,,,,,,,,,,,
9-42.5,1,,,,,,,,,,,
10-47.5,1,,,1,,,,,,,,
