0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obični grab - 13,Obični grab - 13,Obični grab - 13,Klen - 1,Klen - 1,Klen - 1,Brekinja - 66,Brekinja - 66,Brekinja - 66,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,2,3,,1,,,2,,,,,,,,
4-17.5,4,1,,,,,,,,,,,,,
5-22.5,3,2,,2,,,,,,,,,,,
6-27.5,3,1,,,,,1,,,1,,,,,
7-32.5,,2,,1,,,,,,,,,,,
8-37.5,4,,,1,,,,,,,,,,,
9-42.5,3,,,,,,,,,,,,,,
10-47.5,,,,,,,,,,,,,,,
11-52.5,,,,,,,,,,,,,1,,
