0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Klen - 1,Klen - 1,Klen - 1,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Crna joha - 7,Crna joha - 7,Crna joha - 7,,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,4,1,,1,,,,,,,,,3,1,,3-12.5,,,
4-17.5,3,,,1,,,,,,,,,1,2,,4-17.5,,,
5-22.5,2,1,,1,,,,,,,,,,,,5-22.5,,,
6-27.5,3,,,,,,,,,,,,,,,6-27.5,1,,
7-32.5,,,,,,,1,,,,,,,,,7-32.5,,,
8-37.5,2,,,,,,,,,1,,,,,,8-37.5,,,
