0,1,2,3
,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,12,,1
4-17.5,10,1,
5-22.5,1,,
6-27.5,1,,
