0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Obični grab - 13,Obični grab - 13,Obični grab - 13,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Crna joha - 7,Crna joha - 7,Crna joha - 7,Gorski brijest - 70,Gorski brijest - 70,Gorski brijest - 70
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,,,,,,,,,,,,1,1,,
4-17.5,,,,,,,,,,1,,,,,
5-22.5,1,,,,,,1,,,,,,,,
6-27.5,,,,2,,,,,,,,,,,
7-32.5,,,,1,,,,,,,,,,,
8-37.5,,,,1,,,,,,,,,,,
9-42.5,,,,1,,,,,,,,,,,
10-47.5,,,,,,,,,,,,,,,
11-52.5,,,,,,,1,,,,,,,,
12-57.5,,,,,,,,,,,,,,,
13-62.5,,,,,,,,,,,,,,,
14-67.5,1,,,,,,,,,,,,,,
