0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Crni grab - 29,Crni grab - 29,Crni grab - 29,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,Vrba iva - 58,Vrba iva - 58,Vrba iva - 58
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,8,4,,,,,2,,,1,,,,,
4-17.5,7,3,,1,,,,,,,,,1,,
5-22.5,5,,1,,,,,,,,,,,,
6-27.5,3,,,,,,,,,,,,,,
7-32.5,1,,,,,,,,,,,,,,
8-37.5,,,,,,,,,,,,,,,
9-42.5,1,1,,,,,,,,,,,,,
10-47.5,,1,,,,,,,,,,,,,
