0,1,2,3,4,5,6,7,8,9
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,
2-7.5,,,,,,,,,
3-12.5,,,,7,,,,,
4-17.5,,,,4,,,,,
5-22.5,,,,5,,,,,
6-27.5,1,,,,,,1,,
7-32.5,2,,,1,,,,,
8-37.5,,,,,,,,,
9-42.5,1,,,3,,,,,
10-47.5,,,,,,,,,
11-52.5,1,,,,,,,,
12-57.5,,,,,,,,,
13-62.5,,,,,,,,,
14-67.5,,,,,,,,,
15-72.5,1,,,,,,,,
16-77.5,,,,,,,,,
17-82.5,1,,,,,,,,
