0,1,2,3,4,5,6,7,8,9
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5
,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,
2-7.5,,,,,,,,,
3-12.5,1,,,,,,,,
4-17.5,5,,1,,,,,,
5-22.5,3,,,1,,1,1,,
6-27.5,2,,,,,,,,
7-32.5,4,,,,,,,,
8-37.5,1,,,,,,,,
9-42.5,,,,2,,,,,
