0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Klen - 1,Klen - 1,Klen - 1,Mliječ - 4,Mliječ - 4,Mliječ - 4,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Crni grab - 29,Crni grab - 29,Crni grab - 29,,Obični grab - 13,Obični grab - 13,Obični grab - 13
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,,,,1,,,3,1,,,,,,,,3-12.5,3,1,
4-17.5,,,,,,,4,,,,,1,1,,,4-17.5,1,,
5-22.5,,,,,,,,,,,,2,1,,,5-22.5,,,
6-27.5,1,,,,,,,,,,,,,,,6-27.5,,,
