0,1,2,3,4,5,6
,Ostala tvrda bjelogorica - OTB,Ostala tvrda bjelogorica - OTB,Ostala tvrda bjelogorica - OTB,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48
,živa,S,L,živa,S,L
1-2.5,,,,,,
2-7.5,,,,,,
3-12.5,2,,,,,
4-17.5,7,,,,,
5-22.5,2,,,,,
6-27.5,1,,,1,,
