0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Klen - 1,Klen - 1,Klen - 1,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Gorski brijest - 70,Gorski brijest - 70,Gorski brijest - 70,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,1,,,10,,,,,,,,,1,,
4-17.5,1,,,4,,,,,,,,,3,1,
5-22.5,,,,2,,,,,,,,,1,,
6-27.5,,,,,,,,,,,,,,,
7-32.5,1,,,,,,1,,,1,,,,,
8-37.5,,,,1,,,,,,,1,,,,
9-42.5,,,,,,,,,,,,,1,,
