0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Borisova jela - 101,Borisova jela - 101,Borisova jela - 101,Mliječ - 4,Mliječ - 4,Mliječ - 4
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,,,,,,,,,,,,,,,
4-17.5,1,,,1,,2,,,,1,,1,,,
5-22.5,2,,,,,,,,,,,1,,,
6-27.5,1,,,,,,,,,,,,2,,
7-32.5,1,,,1,,,1,,,,,,,,
8-37.5,1,,,,,,,,,,,,,,
9-42.5,1,,,1,,,,,,1,,,,,
10-47.5,3,,,1,,,,,,,,,,,
11-52.5,,,,,,,,,,,,,,,
12-57.5,,,,,,,,,,1,,,,,
