0,1,2,3
,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,2,,3
4-17.5,8,,
5-22.5,2,,
6-27.5,2,,
