0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Klen - 1,Klen - 1,Klen - 1,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,,Bijela topola - 31,Bijela topola - 31,Bijela topola - 31
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,,,,8,,,1,1,,,,,2,,1,3-12.5,,,
4-17.5,,,,1,,,,1,,,,,,,,4-17.5,1,,
5-22.5,2,,,,,,1,,,,,,,,,5-22.5,,,
6-27.5,,,,,,,,,,1,,,,,,6-27.5,,,
