0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Klen - 1,Klen - 1,Klen - 1,Obični orah - 26,Obični orah - 26,Obični orah - 26
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,5,,,,1,,1,,,15,,,,,
4-17.5,,,,,,,,,,8,,,,,
5-22.5,2,,,1,,,2,,,1,,,1,,
6-27.5,1,,,2,,,,,,2,,,,,
7-32.5,,,,1,,,,,,,,,,,
8-37.5,,,,,,,,,,,,,,,
9-42.5,,,,,,,,,,,,,,,
10-47.5,,,,,,,,,,,,,,,
11-52.5,,,,1,,,,,,,,,,,
12-57.5,,,,,,,,,,,,,,,
13-62.5,,,,,,,,,,,,,,,
14-67.5,,,,,,,,,,,,,,,
15-72.5,,,,,,,,,,,,,,,
16-77.5,,,,1,,,,,,,,,,,
