0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Klen - 1,Klen - 1,Klen - 1,Ostala tvrda bjelogorica - OTB,Ostala tvrda bjelogorica - OTB,Ostala tvrda bjelogorica - OTB,Obični orah - 26,Obični orah - 26,Obični orah - 26,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,,,,2,,,2,,,,,,,,
4-17.5,1,,,,,,1,,,,,,1,,
5-22.5,1,,,,,,1,1,,,,,1,,
6-27.5,1,,,1,,,,,,,,,,,
7-32.5,,,,,,,,,,,,,,,
8-37.5,1,,,,,,,,,1,,,,,
9-42.5,,,,,,,,,,,,,,,
10-47.5,,,,,,,,,,1,,,,,
