0,1,2,3
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15
,živa,S,L
1-2.5,,,
2-7.5,,,
3-12.5,,,
4-17.5,,,
5-22.5,,,
6-27.5,1,,
7-32.5,,,
8-37.5,2,,
9-42.5,2,,
10-47.5,3,,
11-52.5,2,,
12-57.5,,,
13-62.5,,,
14-67.5,,,
15-72.5,1,,
16-77.5,,,
17-82.5,,,
18-87.5,1,,
