0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Klen - 1,Klen - 1,Klen - 1
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,14,,,1,3,,6,,,,,,2,,
4-17.5,3,,,1,,,4,,,,,,,,
5-22.5,3,,,1,,,,,,,,,,,
6-27.5,,,,,,1,,,,2,,,,,
7-32.5,,,,1,,,,,,,,,,,
8-37.5,,,,1,,,,,,,,,,,
