0,1,2,3,4,5,6
,Klen - 1,Klen - 1,Klen - 1,Trepetljika - 35,Trepetljika - 35,Trepetljika - 35
,živa,S,L,živa,S,L
1-2.5,,,,,,
2-7.5,,,,,,
3-12.5,5,,,1,,
4-17.5,2,,,,,
