0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Klen - 1,Klen - 1,Klen - 1,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,1,,,,,,1,,,1,,,,,
4-17.5,,,,1,1,,,,,,,,,,
5-22.5,1,,,,,,,,,,,,,,
6-27.5,,,,,,,,,,,,,1,,
7-32.5,2,,,,,,,,,,,,,,
8-37.5,1,,,,,,,,,,,,,,
